operation,file,mean_time,std_time,mean_energy,std_energy,geometry,format
SELECT,geom_data/lines.parquet,0.04474352598190308,0.012938362043493109,0.00033636500000000004,4.972621315764956e-05,lines,parquet
INSERT,geom_data/lines.parquet,0.09284812211990356,0.017797088873657965,0.00036902500000000004,0.0001773834317939531,lines,parquet
UPDATE,geom_data/lines.parquet,0.22776468992233276,0.0566971784818872,0.00023257499999999997,2.7668337047968748e-05,lines,parquet
DELETE,geom_data/lines.parquet,0.08167353868484498,0.01118525746795569,0.00028540999999999994,2.8709909439076956e-05,lines,parquet
JOIN,geom_data/lines.parquet,0.16837745904922485,0.03988610559057753,0.000268155,6.815550949849911e-05,lines,parquet
SELECT,geom_data/simple_polygons.geojson,0.09463739395141602,0.008245008185572176,0.000194505,1.8942636432133732e-05,simple_polygons,geojson
INSERT,geom_data/simple_polygons.geojson,0.18632059097290038,0.04057563018299064,0.00021489,6.791205268580828e-05,simple_polygons,geojson
UPDATE,geom_data/simple_polygons.geojson,0.2529090642929077,0.027730026966538403,0.000187315,1.1126692006162484e-05,simple_polygons,geojson
DELETE,geom_data/simple_polygons.geojson,0.18767441511154176,0.04120981781685007,0.00020525,3.53691320221461e-05,simple_polygons,geojson
JOIN,geom_data/simple_polygons.geojson,0.12223546504974366,0.009633722083477035,0.00020734999999999997,6.448943711957797e-05,simple_polygons,geojson
SELECT,geom_data/simple_polygons.shp,0.05512979030609131,0.007636697964074058,0.00021419999999999998,4.1404939318878374e-05,simple_polygons,shp
INSERT,geom_data/simple_polygons.shp,0.10989649295806884,0.043767249638348424,0.00022746999999999996,6.621237875201283e-05,simple_polygons,shp
UPDATE,geom_data/simple_polygons.shp,0.1855810523033142,0.04525001374929535,0.00022653999999999998,3.2838839808982304e-05,simple_polygons,shp
DELETE,geom_data/simple_polygons.shp,0.09869605302810669,0.0048068853569443425,0.00022012,1.3147874352913486e-05,simple_polygons,shp
JOIN,geom_data/simple_polygons.shp,0.07844958305358887,0.011211288633517667,0.00020414,4.01133319483685e-05,simple_polygons,shp
SELECT,geom_data/simple_polygons.gpkg,0.03778692483901978,0.009239821449656623,0.000291,0.00017300303465546496,simple_polygons,gpkg
INSERT,geom_data/simple_polygons.gpkg,0.5528082370758056,0.12367433895414202,0.00025156,7.924145001197291e-05,simple_polygons,gpkg
UPDATE,geom_data/simple_polygons.gpkg,0.8108118414878845,0.17519816630276477,0.00026985,7.136280894135264e-05,simple_polygons,gpkg
DELETE,geom_data/simple_polygons.gpkg,0.24745348691940308,0.04605100660501628,0.00029360000000000003,9.843980394129198e-05,simple_polygons,gpkg
JOIN,geom_data/simple_polygons.gpkg,0.08082932233810425,0.034798677771932386,0.00021174500000000003,1.7730946816230658e-05,simple_polygons,gpkg
SELECT,geom_data/simple_polygons.parquet,0.0450481653213501,0.014319959094701957,0.00034319,4.001715757022231e-05,simple_polygons,parquet
INSERT,geom_data/simple_polygons.parquet,0.08235335350036621,0.022621747020034826,0.000298675,4.0126959453713915e-05,simple_polygons,parquet
UPDATE,geom_data/simple_polygons.parquet,0.20640082359313966,0.05284516324617054,0.00023955,6.287319381103523e-05,simple_polygons,parquet
